sido,sigungu,region,weeks,avg_inside,avg_outside,avg_total,outside_share_pct,avg_inside_10k,avg_outside_10k,avg_total_10k
부산광역시,기장군,부산광역시 기장군,52,203602.4423076923,190746.32692307694,394348.76923076925,48.36995619262449,20.360244230769233,19.074632692307695,39.43487692307693
경상북도,안동시,경상북도 안동시,52,307058.46153846156,85502.69230769231,392561.1538461539,21.780731860494054,30.705846153846156,8.550269230769231,39.256115384615384
충청남도,당진시,충청남도 당진시,52,295562.96153846156,92614.30769230769,388177.26923076925,23.858766350702773,29.556296153846155,9.261430769230769,38.817726923076926
경기도,포천시,경기도 포천시,52,235174.59615384616,152979.3076923077,388153.9038461539,39.41202347225176,23.517459615384617,15.297930769230769,38.815390384615384
대전광역시,대덕구,대전광역시 대덕구,52,249808.15384615384,132881.0,382689.1538461539,34.72295952589759,24.980815384615383,13.2881,38.26891538461539
충청북도,제천시,충청북도 제천시,52,294587.6923076923,75104.17307692308,369691.8653846154,20.315343698132807,29.45876923076923,7.5104173076923075,36.969186538461535
광주광역시,동구,광주광역시 동구,52,182331.78846153847,182812.92307692306,365144.71153846156,50.0658827308983,18.233178846153848,18.281292307692308,36.51447115384616
울산광역시,동구,울산광역시 동구,52,287986.51923076925,74585.88461538461,362572.4038461539,20.571307640675478,28.798651923076925,7.458588461538461,36.257240384615386
대구광역시,남구,대구광역시 남구,52,215051.25,145750.21153846153,360801.46153846156,40.396236455634345,21.505125,14.575021153846153,36.08014615384616
전라남도,광양시,전라남도 광양시,52,244311.53846153847,83235.21153846153,327546.75,25.41170429517665,24.431153846153848,8.323521153846153,32.754675
경상남도,통영시,경상남도 통영시,52,244664.86538461538,77379.15384615384,322044.01923076925,24.02750842291089,24.466486538461538,7.737915384615384,32.20440192307692
경기도,의왕시,경기도 의왕시,52,181791.86538461538,139923.76923076922,321715.6346153846,43.492996353145834,18.179186538461536,13.992376923076922,32.17156346153846
경기도,부천시 오정구,경기도 부천시 오정구,52,213104.03846153847,107193.57692307692,320297.6153846154,33.4668669931739,21.310403846153847,10.719357692307693,32.029761538461536
경상북도,김천시,경상북도 김천시,52,244121.03846153847,69444.07692307692,313565.1153846154,22.146620754638988,24.412103846153848,6.944407692307692,31.356511538461536
경상남도,사천시,경상남도 사천시,52,204747.88461538462,85200.84615384616,289948.73076923075,29.384797073540987,20.474788461538463,8.520084615384615,28.994873076923074
부산광역시,동구,부산광역시 동구,52,139041.65384615384,149694.98076923078,288736.6346153846,51.84481732587689,13.904165384615384,14.969498076923077,28.873663461538463
충청남도,공주시,충청남도 공주시,52,171532.92307692306,115052.59615384616,286585.51923076925,40.14599078929789,17.153292307692308,11.505259615384615,28.658551923076924
전라남도,나주시,전라남도 나주시,52,194071.40384615384,84771.23076923077,278842.6346153846,30.40110092423925,19.407140384615385,8.477123076923077,27.884263461538463
경기도,여주시,경기도 여주시,52,169251.17307692306,104104.13461538461,273355.3076923077,38.08381680759811,16.925117307692307,10.410413461538461,27.33553076923077
부산광역시,서구,부산광역시 서구,52,162485.6923076923,109797.98076923077,272283.67307692306,40.324849275193834,16.24856923076923,10.979798076923077,27.228367307692306
강원특별자치도,속초시,강원특별자치도 속초시,52,154674.38461538462,114950.21153846153,269624.5961538461,42.63342928583253,15.467438461538462,11.495021153846153,26.962459615384613
경기도,양평군,경기도 양평군,52,161424.13461538462,100347.21153846153,261771.34615384616,38.333917372104686,16.142413461538464,10.034721153846153,26.177134615384617
충청남도,논산시,충청남도 논산시,52,178116.9423076923,79118.32692307692,257235.26923076922,30.757184720303187,17.81169423076923,7.9118326923076925,25.72352692307692
부산광역시,영도구,부산광역시 영도구,52,185599.38461538462,67631.92307692308,253231.3076923077,26.70756775426055,18.55993846153846,6.763192307692308,25.32313076923077
